-ac,pertaining to,に関する,"cardiac, hemophiliac, maniac"
"-acity, -ocity",quality of,の品質,"perspicacity, sagacity, velocity"
-ade,"act, action or process, product",行為、アクションやプロセス、製品,"blockade, cavalcade, promenade,"
-age,action or process,アクションまたはプロセス,"passage, pilgrimage, voyage"
"-aholic, -oholic",one with an obsession for,あるものに対する強迫観念を持つ,"workaholic, shopaholic, alcoholic"
-al,relating to,に関連する,"bacterial, theatrical, natural"
-algia,pain,痛み,"neuralgia, nostalgia,"
"-an, -ian","relating to, belonging to",に属している、に関連する,"Italian, urban, African"
-ance,state or quality of,状態や品質の,"brilliance, defiance, annoyance"
-ant,a person who,する人,"applicant, immigrant, servant"
-ant,"inclined to, tending to",傾向がある,"brilliant, defiant, vigilant"
-ar,"of or relating to, being",に関連する、そのものであること,"lunar, molecular, solar"
-ar,a person who,する人,"beggar, burglar, liar"
-ard,a person who does an action,アクションをした人,"coward, sluggard, wizard"
-arian,a person who,する人,"disciplinarian, vegetarian, librarian"
"-arium, -orium",a place for,以下のための場所,"terrarium, aquarium, solarium"
-ary,of or relating to,関係,"literary, military, budgetary"
-ate,state or quality of (adj.),状態や品質（ADJ。）,"affectionate, desolate, obstinate"
-ate,makes the word a verb (different pronunciation),動詞にする,"activate, evaporate, medicate"
-ation,action or process,アクションまたはプロセス,"creation, narration, emancipation"
-ative,tending to (adj.),傾向（形容詞）,"creative, preservative, talkative"
-cide,act of killing,殺害の行為,"homicide, suicide, genocide"
-cracy,"rule, government, power",ルール、政府、力,"bureaucracy, aristocracy, theocracy"
-crat,someone who has power,パワーを持っている人,"aristocrat, bureaucrat, technocrat"
-cule,diminutive (making something small),小柄（小さくする）,"molecule, ridicule,"
-cy,"state, condition or quality",状態、状態または品質,"efficiency, privacy, belligerency"
-cycle,"circle, wheel",サークル、ホイール,"bicycle, recycle, tricycle"
-dom,"condition of, state, realm",状態、領域,"boredom, freedom, wisdom"
-dox,"belief, praise",信念、賞賛,"orthodox, paradox"
-ectomy,surgical removal of,の外科的除去,"appendectomy, hysterectomy"
-ed,past tense,過去形,"called, hammered, laughed"
-ee,"receiver, performer",受信機、パフォーマー,"nominee, employee, devotee"
-eer,associated with/engaged in,関連付けられた/従事,"engineer, volunteer"
-emia,blood condition,血状態,"anemia, hypoglycemia, leukemia"
-en,makes the word a verb,単語動詞を作ります,"awaken, fasten, strengthen"
-ence,"state or condition, action",状態または症状、行動,"absence, dependence, negligence"
-ency,condition or quality,条件または品質,"clemency, dependency, efficiency"
-ent,"inclined to performing/causing, or one who performs/causes",原因/実行に傾く、またはその人,"competent, correspondent, absorbent"
-er,more,もっと,"bigger, faster, happier"
